"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"386";"10";"Prime Time";"Comedy";180000;287;5,74e+08;2021-05-09;"http://www.youtube.com/channel/UCYBXVTm91Xh5wvgeCQXx-Cw"
"387";"10";"domzkilla96";"Gaming";179000;84;3e+08;2021-05-08;"http://www.youtube.com/channel/UCc_pIQvD6oTJA8_Hnj_HYZg"
"388";"10";"Tonestories Music";"Music";179000;262;4,28e+08;2021-04-04;"http://www.youtube.com/channel/UCYkQFbvvbiB_zsAJKkojZHg"
"389";"10";"Filip Huzjak";"Howto & Style";178000;9;3,45e+08;2020-09-15;"http://www.youtube.com/channel/UCx9R9SIfSnc_63fB8Ywjkqw"
"390";"10";"Škola za život";"Film and Animation";178000;4108;1,39e+08;2020-07-31;"http://www.youtube.com/channel/UCUq1OACvA1XKyXxvstWAJ9w"
"391";"10";"Swampie";"Gaming";177000;139;4,66e+08;2021-06-17;"http://www.youtube.com/channel/UCLwG1COM9h1SXpnqkR53Xqw"
"392";"10";"Coolinarika";"Howto & Style";176000;511;9,57e+08;2021-05-10;"http://www.youtube.com/channel/UCZ1MWvP-76e-FzhWMMW8mxg"
"393";"10";"Felbar Studio";"News & Politics";174000;5014;1,97e+08;2021-05-23;"http://www.youtube.com/channel/UCTizR_jq9IaNXgmUp52czxg"
"394";"10";"RoKage";"Gaming";174000;1592;5,96e+08;2021-05-20;"http://www.youtube.com/channel/UCdD7QJ558i3HBk0lbtLfmOQ"
"395";"10";"Martin Kutnar";"Music";174000;57;2,49e+08;2021-03-18;"http://www.youtube.com/channel/UCdhmzx2TFGYJyU9zhuypNjQ"
"396";"10";"Osvrtnik";"Entertainment";173000;522;2,77e+08;2021-05-09;"http://www.youtube.com/channel/UC-GWO0eo78mY0o3iEkle7HA"
"397";"10";"TV Hope";"Education";173000;566;5,98e+08;2021-05-14;"http://www.youtube.com/channel/UCIc-n-VVQRmqjkPM1Jj74Pg"
"398";"10";"Setup Tech";"Science & Technology";173000;105;3,05e+08;2017-09-30;"http://www.youtube.com/channel/UCBRFBWnfAwiBjS8MTxgCHOQ"
"399";"10";"Samir NurkiÄ<U+0087>";"Music";173000;42;2,81e+08;2021-04-20;"http://www.youtube.com/channel/UCeKVq0F6JIqKwQ1rmsJyBtg"
"400";"10";"mma4u";"Sports";172000;22;9,85e+08;2020-09-23;"http://www.youtube.com/channel/UCpAb-nMq2BsmPoOzuMjsnqA"
"401";"1";"Noize Trauma";"Music";171000;64;196000;2021-02-22;"http://www.youtube.com/channel/UCmSA2soI0CteBD-6oJGLzTg"
"402";"1";"Net TV";"News & Politics";171000;1643;3,7e+08;2021-04-06;"http://www.youtube.com/channel/UCgM9FafqTxsIskFwuKKGxhw"
"403";"1";"HINA multimedija";"News & Politics";169000;7250;9,54e+08;2021-05-22;"http://www.youtube.com/channel/UClK6gVLWoRPRWBBeIJrCmRA"
"404";"1";"Marko Škugor";"Music";169000;149;1,31e+08;2021-05-11;"http://www.youtube.com/channel/UCk0ky7_yPKjcR0wvgD5sO4g"
"405";"1";"BluEsMannus Guitar Art";"Music";167000;227;4,1e+08;2021-05-11;"http://www.youtube.com/channel/UCIvTN3n_Rzz_FaWiWxbshHw"
"406";"1";"Doon Woon";"Entertainment";166000;82;162000;2020-06-13;"http://www.youtube.com/channel/UCiURhJPA9qORntRHA7JzeVg"
"407";"1";"Osjecka TV";"News & Politics";166000;9215;1,4e+08;2021-05-11;"http://www.youtube.com/channel/UCal-aAsgdFogW3SQy54UQ3w"
"408";"1";"Pyro D-Team";"Entertainment";165000;65;1,71e+08;2021-01-21;"http://www.youtube.com/channel/UCEUQ8SoWMLWeLQZAzgRPReA"
"409";"1";"PlayStation Gaming";"Gaming";163000;800;4,48e+08;2021-05-12;"http://www.youtube.com/channel/UC3XPcepY2FDgRbOSDjrv6aA"
"410";"1";"Pirati Official";"Music";162000;42;1,53e+08;2020-12-15;"http://www.youtube.com/channel/UCekWMuHRMV5r6dRO_ViaxJA"
"411";"1";"cd88";"Education";159000;682;1,19e+08;2018-11-02;"http://www.youtube.com/channel/UCppqpbBU4O8nYneRKqqau-w"
"412";"1";"DramaNation";"Autos & Vehicles";158000;12;627000;2020-01-09;"http://www.youtube.com/channel/UCtWK0EkgATMl47okXeCNQQw"
"413";"1";"Ivana Panek";"Howto & Style";157000;465;3,15e+08;2021-05-07;"http://www.youtube.com/channel/UCzSMfrv5LLSzUhj1TA7qJMg"
"414";"1";"Dev_Sky";"Gaming";156000;182;8,08e+08;2021-05-20;"http://www.youtube.com/channel/UCn0-zeGI9Kwu26FljlOPhyg"
"415";"1";"Matej TataMata";"Music";155000;118;2,11e+08;2021-04-27;"http://www.youtube.com/channel/UCFUPUvA_5nufcVIgUgiyafA"
"416";"1";"Z1 Televizija";"Education";155000;3684;8,03e+08;2021-05-11;"http://www.youtube.com/channel/UCuLBPhI5rx8yrCPafw2v3Aw"
"417";"1";"Janko Janic";"People & Blogs";155000;110;1,27e+08;2021-05-11;"http://www.youtube.com/channel/UC8AgveBQHNJwr_wM08mLC2A"
"418";"1";"FORESTER Croatia";"Autos & Vehicles";154000;153;9,88e+08;2021-05-02;"http://www.youtube.com/channel/UC87IN_zKGeyWD1NLsae4-oQ"
"419";"1";"Croatia STEM";"Education";154000;120;214000;2020-04-11;"http://www.youtube.com/channel/UC0a8fxwawBG_s4IfhrQrQFA"
"420";"1";"DIY Garage Projects and reviews";"Howto & Style";151000;61;5,51e+08;2021-02-21;"http://www.youtube.com/channel/UCoOWQd2OMyP0cr2uyxsrf2w"
"421";"2";"Against the Grain";"Science & Technology";150000;1335;2,96e+08;2021-05-09;"http://www.youtube.com/channel/UC3TXr5-4E_5wgMTGAT2DRHw"
"422";"2";"IceBlue ASMR";"Entertainment";150000;389;1,31e+08;2021-05-13;"http://www.youtube.com/channel/UCREVDAluXbq7PYEKYsl40BA"
"423";"2";"Candy Records";"Music";150000;443;768000;2020-02-27;"http://www.youtube.com/channel/UCtH_99dduNFYCMgZRsoi-XQ"
"424";"2";"denz";"Music";149000;61;3,03e+08;2021-05-03;"http://www.youtube.com/channel/UCRpIBxh98lEawz82VcadsxA"
"425";"2";"Popcorn's video channel";"Entertainment";149000;427;2,56e+08;2021-01-16;"http://www.youtube.com/channel/UC8nR8PqK3ktuvNIDQWearTg"
"426";"2";"Labbers";"Gaming";148000;66;501000;2020-12-25;"http://www.youtube.com/channel/UCw4rl-ubo9VsQ8SW6y2oXLw"
"427";"2";"24kupi";"Science & Technology";148000;33;4,03e+08;2020-05-26;"http://www.youtube.com/channel/UCzOMQX3KTbzckVJaG9JYRHw"
"428";"2";"NormalExploiter";"Comedy";147000;52;4,43e+08;2021-04-18;"http://www.youtube.com/channel/UCkXVirCo1MFjTBlYFxzhB3w"
"429";"2";"Anita Žugec - Osobni rast - Meditacije";"Education";147000;171;2,09e+08;2021-05-14;"http://www.youtube.com/channel/UCRHmcHMSSpCI591HhHnGF5g"
"430";"2";"Dancing Bear Records TV";"Music";144000;650;2,11e+08;2021-05-13;"http://www.youtube.com/channel/UCRlfMu8dFOKF3dneRF9yubA"
"431";"2";"Jasmina-Star";"Gaming";144000;62;265000;2021-04-28;"http://www.youtube.com/channel/UCwQWmmXg6BorST45uyqt8ag"
"432";"2";"Slice Of Life";"Film and Animation";143000;30;8e+05;2021-05-08;"http://www.youtube.com/channel/UCfjdaJaICBL5mHapxeuA06Q"
"433";"2";"Min/Max Munchking";"Gaming";142000;134;1,52e+08;2021-05-03;"http://www.youtube.com/channel/UCpScX_SSuGzqZxHUefh1GbA"
"434";"2";"Bellator Tenebrae";"Film and Animation";142000;88;1,15e+08;2020-03-07;"http://www.youtube.com/channel/UCKgW24GgXn8UK-GIpiUjIFA"
